EVTNAME91001; We took the naval blockade; X
pops_regionPOP_europe_clergymen_1; Province Europe max 1% of teachers; X
pops_regionPOP_europe_clergymen_2; Province Europe max 2% of teachers; X
pops_regionPOP_europe_clergymen_3; Province Europe max 3% of teachers; X
pops_regionPOP_asia_servicers_0; Asia Province 0% max servicers; X
pops_regionPOP_asia_servicers_1; Asia province Servicer max 5%; X
pops_regionPOP_asia_servicers_2; Asia province Servicer max 10%; X
pops_regionPOP_asia_servicers_3; Asia province Servicer max 15%; X
pops_regionPOP_asia_clerks_0; Province Asian max 0% of employees; X
pops_regionPOP_asia_clerks_1; Province Asian max 2% of employees; X
pops_regionPOP_asia_clerks_2; Province Asian max 4% of employees; X
pops_regionPOP_asia_clerks_3; Province Asian max 10% of employees; X
pops_regionPOP_asia_craftsmen_0; Asia Province 0% max proletarians; X
pops_regionPOP_asia_craftsmen_1; Asia Province max 5% of the proletarians; X
pops_regionPOP_asia_craftsmen_2; Province Asian max 10% of the proletarians; X
pops_regionPOP_asia_craftsmen_3; Asia Province max 20% of the proletarians; X
pops_regionPOP_asia_soldiers_0; Asia Province 0% max soldiers; X
pops_regionPOP_asia_soldiers_1; Asia Province max 1% of the soldiers; X
pops_regionPOP_asia_soldiers_2; Asia Province max 2% of the soldiers; X
pops_regionPOP_asia_soldiers_3; Asia Province max 3% of soldiers; X
pops_regionPOP_asia_clergymen_0; Province Asian max 0% of teachers; X
pops_regionPOP_asia_clergymen_1; Asia Province max 1% of teachers; X
pops_regionPOP_asia_clergymen_2; Province Asian max 2% of teachers; X
pops_regionPOP_asia_clergymen_3; Province Asian max 3% of teachers; X
pops_regionPOP_africa_servicers_0; African province Servicer% max 0; X
pops_regionPOP_africa_servicers_1; African province Servicer max 5%; X
pops_regionPOP_africa_servicers_2; African province Servicer max 10%; X
pops_regionPOP_africa_servicers_3; African province Servicer max 15%; X
pops_regionPOP_africa_clerks_0; max Africa Province 0% of employees; X
pops_regionPOP_africa_clerks_1; Africa Province max 2% of employees; X
pops_regionPOP_africa_clerks_2; Africa Province max 4% of employees; X
pops_regionPOP_africa_clerks_3; Province of Africa max 10% of employees; X
pops_regionPOP_africa_craftsmen_0; max Africa Province 0% proletarians; X
pops_regionPOP_africa_craftsmen_1; Province of Africa max 5% of the proletarians; X
pops_regionPOP_africa_craftsmen_2; Province of Africa max 10% of the proletarians; X
pops_regionPOP_africa_craftsmen_3; Province of Africa max 20% of the proletarians; X
pops_regionPOP_africa_soldiers_0; max Africa Province 0% of the soldiers; X
pops_regionPOP_africa_soldiers_1; Province of Africa max 1% of the soldiers; X
pops_regionPOP_africa_soldiers_2; Province of Africa max 2% of the soldiers; X
pops_regionPOP_africa_soldiers_3; Province of Africa max 3% of soldiers; X
pops_regionPOP_africa_clergymen_0; max Africa Province 0% of teachers; X
pops_regionPOP_africa_clergymen_1; Africa Province max 1% of teachers; X
pops_regionPOP_africa_clergymen_2; Africa Province max 2% of teachers; X
pops_regionPOP_africa_clergymen_3; Africa Province max 3% of teachers; X
pops_regionPOP_north_america_servicers_0; Northern Province. America max 0% servicers; X
pops_regionPOP_north_america_servicers_1; Northern Province. America max 5% servicers; X
pops_regionPOP_north_america_servicers_2; Northern Province. America max 10% of servicers; X
pops_regionPOP_north_america_servicers_3; Northern Province. America max 15% of servicers; X
pops_regionPOP_north_america_clerks_0; Northern Province. America max 0% of employees; X
pops_regionPOP_north_america_clerks_1; Northern Province. America max 2% of employees; X
pops_regionPOP_north_america_clerks_2; Northern Province. America max 4% of employees; X
pops_regionPOP_north_america_clerks_3; Northern Province. America max 10% of employees; X
pops_regionPOP_north_america_craftsmen_0; Northern Province. America max 0% proletarians; X
pops_regionPOP_north_america_craftsmen_1; Northern Province. America max 5% of the proletarians; X
pops_regionPOP_north_america_craftsmen_2; Northern Province. America max 10% of the proletarians; X
pops_regionPOP_north_america_craftsmen_3; Northern Province. America max 20% of the proletarians; X
pops_regionPOP_north_america_soldiers_0; Northern Province. Max 0% American soldiers; X
pops_regionPOP_north_america_soldiers_1; Northern Province. America max 1% of the soldiers; X
pops_regionPOP_north_america_soldiers_2; Northern Province. American soldiers max 2%; X
pops_regionPOP_north_america_soldiers_3; Northern Province. American soldiers max 3%; X
pops_regionPOP_north_america_clergymen_0; Northern Province. America max 0% of teachers; X
pops_regionPOP_north_america_clergymen_1; Northern Province. America max 1% of teachers; X
pops_regionPOP_north_america_clergymen_2; Northern Province. America max 2% of teachers; X
pops_regionPOP_north_america_clergymen_3; Northern Province. America max 3% of teachers; X
pops_regionPOP_south_america_servicers_0; South Province. America max 0% servicers; X
pops_regionPOP_south_america_servicers_1; South Province. America max 5% servicers; X
pops_regionPOP_south_america_servicers_2; South Province. America max 10% of servicers; X
pops_regionPOP_south_america_servicers_3; South Province. America max 15% of servicers; X
pops_regionPOP_south_america_clerks_0; South Province. America max 0% of employees; X
pops_regionPOP_south_america_clerks_1; South Province. America max 2% of employees; X
pops_regionPOP_south_america_clerks_2; South Province. America max 4% of employees; X
pops_regionPOP_south_america_clerks_3; South Province. America max 10% of employees; X
pops_regionPOP_south_america_craftsmen_0; South Province. America max 0% proletarians; X
pops_regionPOP_south_america_craftsmen_1; South Province. America max 5% of the proletarians; X
pops_regionPOP_south_america_craftsmen_2; South Province. America max 10% of the proletarians; X
pops_regionPOP_south_america_craftsmen_3; South Province. America max 20% of the proletarians; X
pops_regionPOP_south_america_soldiers_0; South Province. Max 0% American soldiers; X
pops_regionPOP_south_america_soldiers_1; South Province. America max 1% of the soldiers; X
pops_regionPOP_south_america_soldiers_2; South Province. American soldiers max 2%; X
pops_regionPOP_south_america_soldiers_3; South Province. American soldiers max 3%; X
pops_regionPOP_south_america_clergymen_0; South Province. America max 0% of teachers; X
pops_regionPOP_south_america_clergymen_1; South Province. America max 1% of teachers; X
pops_regionPOP_south_america_clergymen_2; South Province. America max 2% of teachers; X
pops_regionPOP_south_america_clergymen_3; South Province. America max 3% of teachers; X
pops_regionPOP_oceania_servicers_0; Province Oceania max 0% servicers; X
pops_regionPOP_oceania_servicers_1; Oceania province Servicer max 5%; X
pops_regionPOP_oceania_servicers_2; Province Oceania max 10% of servicers; X
pops_regionPOP_oceania_servicers_3; Province Oceania max 15% of servicers; X
pops_regionPOP_oceania_clerks_0; Province Oceania max 0% of employees; X
pops_regionPOP_oceania_clerks_1; Province Oceania max 2% of employees; X
pops_regionPOP_oceania_clerks_2; Province Oceania max 4% of employees; X
pops_regionPOP_oceania_clerks_3; Province Oceania max 10% of employees; X
pops_regionPOP_oceania_craftsmen_0; Province Oceania max 0% proletarians; X
pops_regionPOP_oceania_craftsmen_1; Province Oceania max 5% of the proletarians; X
pops_regionPOP_oceania_craftsmen_2; Province Oceania max 10% of the proletarians; X
pops_regionPOP_oceania_craftsmen_3; Province Oceania max 20% of the proletarians; X
pops_regionPOP_oceania_soldiers_0; Oceania Province 0% max soldiers; X
pops_regionPOP_oceania_soldiers_1; Province Oceania max 1% of the soldiers; X
pops_regionPOP_oceania_soldiers_2; Province Oceania max 2% of the soldiers; X
pops_regionPOP_oceania_soldiers_3; Province Oceania max 3% of soldiers; X
pops_regionPOP_oceania_clergymen_0; Province Oceania max 0% of teachers; X
pops_regionPOP_oceania_clergymen_1; Province Oceania max 1% of teachers; X
pops_regionPOP_oceania_clergymen_2; Province Oceania max 2% of teachers; X
pops_regionPOP_oceania_clergymen_3; Province Oceania max 3% of teachers; X
pops_satellitePOP_europe_servicers_0; Satellite Europe max 0% servicers; X
pops_satellitePOP_europe_servicers_1; Satellite Europe max 5% servicers; X
pops_satellitePOP_europe_servicers_2; Satellite Europe max 10% of servicers; X
pops_satellitePOP_europe_servicers_3; Satellite Europe max 15% of servicers; X
pops_satellitePOP_europe_clerks_0; Satellite Europe max 0% of employees; X
pops_satellitePOP_europe_clerks_1; Satellite Europe max 2% of employees; X
pops_satellitePOP_europe_clerks_2; Satellite Europe max 4% of employees; X
pops_satellitePOP_europe_clerks_3; Satellite max Europe 10% of employees; X
pops_satellitePOP_europe_craftsmen_0; Satellite Europe max 0% proletarians; X
pops_satellitePOP_europe_craftsmen_1; Satellite Europe max 5% of the proletarians; X
pops_satellitePOP_europe_craftsmen_2; Satellite Europe max 10% of the proletarians; X
pops_satellitePOP_europe_craftsmen_3; Satellite Europe max 20% of the proletarians; X
pops_satellitePOP_europe_soldiers_0; Satellite Europe 0% max soldiers; X
pops_satellitePOP_europe_soldiers_1; Satellite Europe max 1% of the soldiers; X
pops_satellitePOP_europe_soldiers_2; Satellite Europe max 2% of the soldiers; X
pops_satellitePOP_europe_soldiers_3; Satellite Europe max 3% of soldiers; X
pops_satellitePOP_europe_clergymen_0; Satellite Europe max 0% of teachers; X
pops_satellitePOP_europe_clergymen_1; Satellite Europe max 1% of teachers; X
pops_satellitePOP_europe_clergymen_2; Satellite Europe max 2% of teachers; X
pops_satellitePOP_europe_clergymen_3; Satellite Europe max 3% of teachers; X
pops_satellitePOP_asia_servicers_0; Asia Satellite max 0% servicers; X
pops_satellitePOP_asia_servicers_1; Asia Satellite max 5% servicers; X
pops_satellitePOP_asia_servicers_2; Asia Satellite max 10% of servicers; X
pops_satellitePOP_asia_servicers_3; Asia Satellite max 15% of servicers; X
pops_satellitePOP_asia_clerks_0; Asia Satellite max 0% of employees; X
pops_satellitePOP_asia_clerks_1; Asia Satellite max 2% of employees; X
pops_satellitePOP_asia_clerks_2; Asia Satellite max 4% of employees; X
pops_satellitePOP_asia_clerks_3; Asia Satellite max 10% of employees; X
pops_satellitePOP_asia_craftsmen_0; Asia Satellite max 0% proletarians; X
pops_satellitePOP_asia_craftsmen_1; Asia Satellite max 5% of the proletarians; X
pops_satellitePOP_asia_craftsmen_2; Asia Satellite max 10% of the proletarians; X
pops_satellitePOP_asia_craftsmen_3; Asia Satellite max 20% of the proletarians; X
pops_satellitePOP_asia_soldiers_0; Asia Satellite max 0% of the soldiers; X
pops_satellitePOP_asia_soldiers_1; Asia Satellite max 1% of the soldiers; X
pops_satellitePOP_asia_soldiers_2; Asia Satellite max 2% of the soldiers; X
pops_satellitePOP_asia_soldiers_3; Asia Satellite max 3% of soldiers; X
pops_satellitePOP_asia_clergymen_0; Asia Satellite max 0% of teachers; X
pops_satellitePOP_asia_clergymen_1; Asia Satellite max 1% of teachers; X
pops_satellitePOP_asia_clergymen_2; Asia Satellite max 2% of teachers; X
pops_satellitePOP_asia_clergymen_3; Asia Satellite max 3% of teachers; X
pops_satellitePOP_africa_servicers_0; Satellite Africa max 0% servicers; X
pops_satellitePOP_africa_servicers_1; Satellite Africa max 5% servicers; X
pops_satellitePOP_africa_servicers_2; Satellite Africa max 10% of servicers; X
pops_satellitePOP_africa_servicers_3; Satellite Africa max 15% of servicers; X
pops_satellitePOP_africa_clerks_0; Satellite Africa max 0% of employees; X
pops_satellitePOP_africa_clerks_1; Satellite Africa max 2% of employees; X
pops_satellitePOP_africa_clerks_2; African Satellite max 4% of employees; X
pops_satellitePOP_africa_clerks_3; Satellite Africa max 10% of employees; X
pops_satellitePOP_africa_craftsmen_0; Satellite Africa max 0% proletarians; X
pops_satellitePOP_africa_craftsmen_1; Satellite Africa max 5% of the proletarians; X
pops_satellitePOP_africa_craftsmen_2; Satellite Africa max 10% of the proletarians; X
pops_satellitePOP_africa_craftsmen_3; Satellite Africa max 20% of the proletarians; X
pops_satellitePOP_africa_soldiers_0; Satellite Africa max 0% of the soldiers; X
pops_satellitePOP_africa_soldiers_1; Satellite Africa max 1% of the soldiers; X
pops_satellitePOP_africa_soldiers_2; Satellite Africa max 2% of the soldiers; X
pops_satellitePOP_africa_soldiers_3; Satellite Africa max 3% of soldiers; X
pops_satellitePOP_africa_clergymen_0; Satellite Africa max 0% of teachers; X
pops_satellitePOP_africa_clergymen_1; African Satellite max 1% of teachers; X
pops_satellitePOP_africa_clergymen_2; Satellite Africa max 2% of teachers; X
pops_satellitePOP_africa_clergymen_3; Satellite Africa max 3% of teachers; X
pops_satellitePOP_north_america_servicers_0; Satellite North. America max 0% servicers; X
pops_satellitePOP_north_america_servicers_1; Satellite North. America max 5% servicers; X
pops_satellitePOP_north_america_servicers_2; Satellite North. America max 10% of servicers; X
pops_satellitePOP_north_america_servicers_3; Satellite North. America max 15% of servicers; X
pops_satellitePOP_north_america_clerks_0; Satellite North. America max 0% of employees; X
pops_satellitePOP_north_america_clerks_1; Satellite North. America max 2% of employees; X
pops_satellitePOP_north_america_clerks_2; Satellite North. America max 4% of employees; X
pops_satellitePOP_north_america_clerks_3; Satellite North. America max 10% of employees; X
pops_satellitePOP_north_america_craftsmen_0; Satellite North. America max 0% proletarians; X
pops_satellitePOP_north_america_craftsmen_1; Satellite North. America max 5% of the proletarians; X
pops_satellitePOP_north_america_craftsmen_2; Satellite North. America max 10% of the proletarians; X
pops_satellitePOP_north_america_craftsmen_3; Satellite North. America max 20% of the proletarians; X
pops_satellitePOP_north_america_soldiers_0; Satellite North. Max 0% American soldiers; X
pops_satellitePOP_north_america_soldiers_1; Satellite North. America max 1% of the soldiers; X
pops_satellitePOP_north_america_soldiers_2; Satellite North. American soldiers max 2%; X
pops_satellitePOP_north_america_soldiers_3; Satellite North. American soldiers max 3%; X
pops_satellitePOP_north_america_clergymen_0; Satellite North. America max 0% of teachers; X
pops_satellitePOP_north_america_clergymen_1; Satellite North. America max 1% of teachers; X
pops_satellitePOP_north_america_clergymen_2; Satellite North. America max 2% of teachers; X
pops_satellitePOP_north_america_clergymen_3; Satellite North. America max 3% of teachers; X
pops_satellitePOP_south_america_servicers_0; Satellite South. America max 0% servicers; X
pops_satellitePOP_south_america_servicers_1; Satellite South. America max 5% servicers; X
pops_satellitePOP_south_america_servicers_2; Satellite South. America max 10% of servicers; X
pops_satellitePOP_south_america_servicers_3; Satellite South. America max 15% of servicers; X
pops_satellitePOP_south_america_clerks_0; Satellite South. America max 0% of employees; X
pops_satellitePOP_south_america_clerks_1; Satellite South. America max 2% of employees; X
pops_satellitePOP_south_america_clerks_2; Satellite South. America max 4% of employees; X
pops_satellitePOP_south_america_clerks_3; Satellite South. America max 10% of employees; X
pops_satellitePOP_south_america_craftsmen_0; Satellite South. America max 0% proletarians; X
pops_satellitePOP_south_america_craftsmen_1; Satellite South. America max 5% of the proletarians; X
pops_satellitePOP_south_america_craftsmen_2; Satellite South. America max 10% of the proletarians; X
pops_satellitePOP_south_america_craftsmen_3; Satellite South. America max 20% of the proletarians; X
pops_satellitePOP_south_america_soldiers_0; Satellite South. Max 0% American soldiers; X
pops_satellitePOP_south_america_soldiers_1; Satellite South. America max 1% of the soldiers; X
pops_satellitePOP_south_america_soldiers_2; Satellite South. American soldiers max 2%; X
pops_satellitePOP_south_america_soldiers_3; Satellite South. American soldiers max 3%; X
pops_satellitePOP_south_america_clergymen_0; Satellite South. America max 0% of teachers; X
pops_satellitePOP_south_america_clergymen_1; Satellite South. America max 1% of teachers; X
pops_satellitePOP_south_america_clergymen_2; Satellite South. America max 2% of teachers; X
pops_satellitePOP_south_america_clergymen_3; Satellite South. America max 3% of teachers; X
pops_satellitePOP_oceania_servicers_0; Satellite Oceania max 0% servicers; X
pops_satellitePOP_oceania_servicers_1; Satellite Oceania max 5% servicers; X
pops_satellitePOP_oceania_servicers_2; Satellite Oceania max 10% of servicers; X
pops_satellitePOP_oceania_servicers_3; Satellite Oceania max 15% of servicers; X
pops_satellitePOP_oceania_clerks_0; Satellite Oceania max 0% of employees; X
pops_satellitePOP_oceania_clerks_1; Satellite Oceania max 2% of employees; X
pops_satellitePOP_oceania_clerks_2; Satellite Oceania max 4% of employees; X
pops_satellitePOP_oceania_clerks_3; Satellite Oceania max 10% of employees; X
pops_satellitePOP_oceania_craftsmen_0; Satellite Oceania max 0% proletarians; X
pops_satellitePOP_oceania_craftsmen_1; Satellite Oceania max 5% of the proletarians; X
pops_satellitePOP_oceania_craftsmen_2; Satellite Oceania max 10% of the proletarians; X
pops_satellitePOP_oceania_craftsmen_3; Satellite Oceania max 20% of the proletarians; X
pops_satellitePOP_oceania_soldiers_0; Satellite Oceania max 0% of the soldiers; X
pops_satellitePOP_oceania_soldiers_1; Satellite Oceania max 1% of the soldiers; X
pops_satellitePOP_oceania_soldiers_2; Satellite Oceania max 2% of the soldiers; X
pops_satellitePOP_oceania_soldiers_3; Satellite Oceania max 3% of soldiers; X
pops_satellitePOP_oceania_clergymen_0; Satellite Oceania max 0% of teachers; X
